key	english	french	russian	bulgarian
Conversations/Bank/Caldarus/Banked Lines/basement/basement/init	You're quite social, aren't you? How charming.	Tu aimes avoir de la compagnie, n'est-ce pas ? C'est charmant.	Ты общительное создание, как я погляжу. Очаровательно.	You're quite social, aren't you? How charming.
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_0/1	Whether it be whimsy or vanity... I cannot help but find it flattering.	Que ce soit par fantaisie ou par vanité... je ne puis m'empêcher de trouver cela flatteur.	Возможно, во мне говорит тщеславие... но это не может не льстить.	Whether it be whimsy or vanity... I cannot help but find it flattering.
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_0/init	The stone font in the bath looks to be a statue of... me.	La fontaine de pierre, dans les bains, semble être une statue de... moi.	Фонтанная статуя в купальне, по-видимому, изображает... меня.	The stone font in the bath looks to be a statue of... me.
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_1/init	The waters of this bathhouse are quite special...	L'eau de ces bains est très particulière...	В этой купальне крайне необычная вода...	The waters of this bathhouse are quite special...
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_2/1	Most scents are simple to the keen nose of a dragon, but the steamy bouquet here is quite complex.	La plupart des odeurs sont très simples, pour l'odorat aiguisé d'un dragon, mais les vapeurs parfumées de ce lieu sont fort complexes.	Для чуткого нюха дракона большинство запахов звучат незатейливо. Но здешний букет ароматов весьма изысканный.	Most scents are simple to the keen nose of a dragon, but the steamy bouquet here is quite complex.
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_2/init	The mistress of this bathhouse is very skilled at developing bath oils.	La maîtresse de cette maison de bains a un réel talent pour créer des huiles de bain.	Хозяйка купальни — настоящая мастерица в маслах для ванн.	The mistress of this bathhouse is very skilled at developing bath oils.
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_3/1	It fits into this hot springs bath, for one.	Notamment celui de pouvoir entrer dans ce bain de sources chaudes.	Например, оно хорошо помещается в эту горячую ванну.	It fits into this hot springs bath, for one.
Conversations/Bank/Caldarus/Banked Lines/bathhouse/bathhouse_3/init	This mortal form has its advantages...	Cette forme mortelle a certains avantages...	У смертного обличья есть свои преимущества...	This mortal form has its advantages...
Conversations/Bank/Caldarus/Banked Lines/beach/beach_0/1	As with all things, the natural world is constantly evolving.	Comme toute chose, le monde naturel est en perpétuelle évolution.	Природа непрерывно изменяется, как и всё в этом мире.	As with all things, the natural world is constantly evolving.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_0/2	I find this impermanence quite beautiful.	Je trouve cette fugacité magnifique.	И в этом непостоянстве я вижу красоту.	I find this impermanence quite beautiful.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_0/init	The shoreline of Mistria has undergone many changes since the first time I first laid eyes upon it...	Le trait de côte de Mistria a connu bien des transformations depuis la première fois où j'ai posé les yeux dessus...	Очертания мистрийского берега неоднократно менялись с той поры, когда я его впервые увидел...	The shoreline of Mistria has undergone many changes since the first time I first laid eyes upon it...
Conversations/Bank/Caldarus/Banked Lines/beach/beach_1/1	Though if one is not careful, one risks being lulled to sleep.	Si l'on n'y prend garde, il peut nous bercer jusqu'au sommeil.	Он так убаюкивает, что под него можно незаметно заснуть.	Though if one is not careful, one risks being lulled to sleep.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_1/init	The rhythm of the ocean is like music, and quite meditative...	Le rythme de l'océan est semblable à une musique et invite à la méditation...	Ритм океана подобен музыке. Такой медитативный...	The rhythm of the ocean is like music, and quite meditative...
Conversations/Bank/Caldarus/Banked Lines/beach/beach_2/1	I began to wonder if it would live up to my memories.	J'avais commencé à me demander s'il serait à la hauteur de mes souvenirs.	Я стал переживать, действительно ли он так хорош, как я его помню.	I began to wonder if it would live up to my memories.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_2/2	I was wrong to worry. It is more beautiful than I remember.	J'avais tort de m'inquiéter. Il est plus beau encore que dans ma mémoire.	Но я волновался напрасно. Океан красивее всех моих ожиданий.	I was wrong to worry. It is more beautiful than I remember.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_2/init	Whilst convalescing in the Deep Woods, my mind wandered often to thoughts of the ocean.	Pendant ma convalescence à Boissombre, mon esprit vagabondait souvent en pensant à l'océan.	Когда я выздоравливал в Глубокой чаще, мой разум часто посещали мысли об океане.	Whilst convalescing in the Deep Woods, my mind wandered often to thoughts of the ocean.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_3/1	Yes... the Beach is full of pleasant dichotomies.	Oui... la plage est si pleine d'agréables dichotomies.	Да уж... На пляже много занимательных контрастов.	Yes... the Beach is full of pleasant dichotomies.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_3/init	I enjoy watching the cool waters of the ocean meet the hot sand of the shore.	J'aime regarder les eaux froides de l'océan venir à la rencontre du sable chaud de la rive.	Я люблю смотреть, как холодные океанские воды сталкиваются с горячим песком на берегу.	I enjoy watching the cool waters of the ocean meet the hot sand of the shore.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_4/1	The long walk to the Beach is a small thing compared to the promise of its warm sands.	La longue marche jusqu'à la plage est peu de chose comparée à la promesse de son sable chaud.	Долгий путь к пляжу — это ничтожная плата за его тёплый песок.	The long walk to the Beach is a small thing compared to the promise of its warm sands.
Conversations/Bank/Caldarus/Banked Lines/beach/beach_4/init	I find that I thrive in the summer heat.	Je trouve que tout me convient avec la chaleur de l'été.	Я обнаружил, что отлично себя чувствую в летнюю жару.	I find that I thrive in the summer heat.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_0/1	I am finding it quite enjoyable.	Je trouve cela très plaisant.	Это доставляет мне удовольствие.	I am finding it quite enjoyable.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_0/init	In this form, my mouth is much smaller. I am able to take more delicate bites, and savor a meal a little at a time.	Sous cette forme, ma bouche est bien plus petite. Je peux prendre des bouchées délicates et savourer un repas petit à petit.	В этом обличии мои уста намного меньше. Я могу вкушать еду медленно, лучше наслаждаться её вкусом. 	In this form, my mouth is much smaller. I am able to take more delicate bites, and savor a meal a little at a time.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_1/1	Which is to say, today I learned that char does not taste quite as good in this form.	Pour le dire autrement, j'ai découvert aujourd'hui que sous ma forme actuelle, le goût de l'omble n'est pas aussi plaisant.	Например, сегодня я узнал, что гарь не так вкусна для этого обличия.	Which is to say, today I learned that char does not taste quite as good in this form.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_1/init	Of all the challenges I face today, cooking may be the greatest. Every day brings a humbling new lesson.	La cuisine est sûrement le plus grand de tous les défis que je dois désormais relever. Chaque jour est l'occasion d'une nouvelle leçon d'humilité.	Из всех испытаний, что стоят передо мной на сегодняшний день, самое сложное — готовка. Каждый день преподносит мне новый урок скромности.	Of all the challenges I face today, cooking may be the greatest. Every day brings a humbling new lesson.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_10/1	Did I always do this? It is difficult to remember.	Ai-je toujours fait cela ? Il m'est difficile de m'en souvenir.	Делал ли я это раньше? Тяжело вспомнить.	Did I always do this? It is difficult to remember.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_10/init	I give thanks every time I enjoy the bounty of nature.	Je remercie la nature chaque fois que je profite de ses bienfaits.	Я благодарю природу за каждый её дар.	I give thanks every time I enjoy the bounty of nature.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_10_alt/1	I have always made a point to do so.	J'en ai toujours fait un point d'honneur.	И я знаю, что делал так всегда.	I have always made a point to do so.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_10_alt/init	I like to give thanks when I enjoy the bounty of nature.	J'aime remercier la nature chaque fois que je profite de ses bienfaits.	Мне нравится благодарить природу за каждый её дар.	I like to give thanks when I enjoy the bounty of nature.
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_11/1	Is that not funny?	N'est-ce pas amusant ?	Разве это не потешно?	Is that not funny?
Conversations/Bank/Caldarus/Banked Lines/cooking/cooking_11/2	Ah, so it is not. I understand.	Ah, ça ne l'est pas. Je comprends.	Ах. Видимо, нет. Я понял.	Ah, so it is not. I understand.
